code,year,data_level,cpi,ppp2021
HND,2014,national,0.7680558779139229,11.78213501
HND,2015,national,0.79487776379233,11.78213501
HND,2016,national,0.8135972049783023,11.78213501
HND,2017,national,0.8465657730371751,11.78213501
HND,2018,national,0.8803725250297505,11.78213501
HND,2019,national,0.9256344574495541,11.78213501
HND,2023,national,1.1541792767051355,11.78213501
HND,2024,national,1.2111757841967494,11.78213501
HRV,1988,national,1.0554542898448447e-5,3.636068441
HRV,1998,national,0.6176863134965722,3.636068441
HRV,1999,national,0.6425120374299713,3.636068441
HRV,2000,national,0.6721402877186897,3.636068441
HRV,2001,national,0.697524982917692,3.636068441
HRV,2004,national,0.736554015198012,3.636068441
HRV,2008,national,0.8571315710406889,3.636068441
HRV,2009,national,0.8775186681116227,3.636068441
HRV,2010,national,0.8865619763449096,3.636068441
HRV,2011,national,0.9067111183199585,3.636068441
HRV,2012,national,0.9376487303898419,3.636068441
HRV,2013,national,0.9584325320194351,3.636068441
HRV,2014,national,0.95637000651096,3.636068441
HRV,2015,national,0.951927659486393,3.636068441
HRV,2016,national,0.9412184626639797,3.636068441
HRV,2017,national,0.9518483185746611,3.636068441
HRV,2018,national,0.9661272476712124,3.636068441
HRV,2019,national,0.9735840082271046,3.636068441
HRV,2020,national,0.9750912826320782,3.636068441
HRV,2021,national,1,3.636068441
HRV,2022,national,0.1470311014017902,3.636068441
HRV,2023,national,0.1587072560961105,3.636068441
HTI,2001,national,0.11892055494784427,53.03123474
HTI,2012,national,0.3732778733910034,53.03123474
HUN,1987,national,0.040142661769230696,165.821228
HUN,1989,national,0.05442106707494546,165.821228
HUN,1991,national,0.0941836816839098,165.821228
HUN,1993,national,0.14262613800476223,165.821228
HUN,1994,national,0.16953695345048864,165.821228
HUN,1998,national,0.3627114716146755,165.821228
HUN,1999,national,0.3989744155092967,165.821228
HUN,2000,national,0.4380883194719972,165.821228
HUN,2001,national,0.4780280074140669,165.821228
HUN,2002,national,0.5031983212090917,165.821228
HUN,2003,national,0.5266524457458279,165.821228
HUN,2004,national,0.5621717538278447,165.821228
HUN,2005,national,0.5821935575971549,165.821228
HUN,2006,national,0.6050756767969456,165.821228
HUN,2007,national,0.6532321160120377,165.821228
HUN,2008,national,0.6927037759628631,165.821228
HUN,2009,national,0.7218784158622595,165.821228
HUN,2010,national,0.7569296670784567,165.821228
HUN,2011,national,0.7866764278130997,165.821228
HUN,2012,national,0.8311405018354989,165.821228
HUN,2013,national,0.8455457964624257,165.821228
HUN,2014,national,0.8436216525127348,165.821228
HUN,2015,national,0.8431016214113523,165.821228
HUN,2016,national,0.8464298782093512,165.821228
HUN,2017,national,0.8663061541190852,165.821228
IDN,1984,national,0.05089001123252223,5353.55957
IDN,1987,national,0.06163040244888951,5353.55957
IDN,1990,national,0.0764015723527685,5353.55957
IDN,1993,national,0.09858118901700759,5353.55957
IDN,1996,national,0.12640556469819134,5353.55957
IDN,1998,national,0.212761341196545,5353.55957
IDN,1999,national,0.25633023547341705,5353.55957
IDN,2000,national,0.25946667855691,5353.55957
IDN,2001,national,0.28312713488462826,5353.55957
IDN,2002,national,0.32693979343888874,5353.55957
IDN,2003,national,0.35281315076814146,5353.55957
IDN,2004,national,0.36141456778451136,5353.55957
IDN,2005,national,0.3896572284010177,5353.55957
IDN,2006,national,0.4587750243092828,5353.55957
IDN,2007,national,0.48977258062014856,5353.55957
IDN,2008,national,0.5433496198872685,5353.55957
IDN,2009,national,0.5675757923679614,5353.55957
IDN,2010,national,0.6117023532509781,5353.55957
IDN,2011,national,0.6513888381037731,5353.55957
IDN,2012,national,0.6530233442971578,5353.55957
IDN,2013,national,0.7124352431370965,5353.55957
IDN,2014,national,0.7746245687532606,5353.55957
IDN,2015,national,0.837784697328579,5353.55957
IDN,2016,national,0.8582572684687136,5353.55957
IDN,2017,national,0.8831619233961799,5353.55957
IDN,2018,national,0.9169173279302166,5353.55957
IDN,2019,national,0.9399410955801907,5353.55957
IDN,2020,national,0.9717049236724422,5353.55957
IDN,2021,national,0.9693998497867135,5353.55957
IDN,2022,national,1.0258827718797132,5353.55957
IDN,2023,national,1.0849669200543295,5353.55957
IDN,2024,national,1.114301314095147,5353.55957
IND,1977,national,0.04234708473086357,19.46895027
IND,1983,national,0.06910151243209839,19.46895027
IND,1987,national,0.0978158488869667,19.46895027
IND,1993,national,0.16930216550827026,19.46895027
IND,2004,national,0.33598899841308594,19.46895027
IND,2009,national,0.49616917967796326,19.46895027
IND,2011,national,0.59053802490234375,19.46895027
IND,2015,national,0.7727906703948975,19.46895027
IND,2016,national,0.8077062368392944,19.46895027
IND,2017,national,0.8367853164672852,19.46895027
IND,2018,national,0.8652445673942566,19.46895027
IND,2019,national,0.9065647721290588,19.46895027
IND,2020,national,0.9624502658843994,19.46895027
IND,2021,national,1.0153918266296387,19.46895027
IND,2022,national,1.1019059419631958,19.46895027
IND,2023,national,1.1581529378890991,19.46895027
IRL,1987,national,0.4021411209409444,0.980556548
IRL,1994,national,0.48779441102779925,0.980556548
IRL,1995,national,0.5001105122092159,0.980556548
IRL,1996,national,0.5088911966240949,0.980556548
IRL,2000,national,0.5678004164363055,0.980556548
IRL,2002,national,0.7907945902585264,0.980556548
IRL,2003,national,0.8184108335204415,0.980556548
IRL,2004,national,0.8362402761399726,0.980556548
IRL,2005,national,0.8567829558428858,0.980556548
IRL,2006,national,0.8905038948080714,0.980556548
IRL,2007,national,0.9340116344156405,0.980556548
IRL,2008,national,0.971705394826636,0.980556548
IRL,2009,national,0.9284883717257633,0.980556548
IRL,2010,national,0.9199612256332786,0.980556548
IRL,2011,national,0.9434108598407432,0.980556548
IRL,2012,national,0.959399214896982,0.980556548
IRL,2013,national,0.9643410445734661,0.980556548
IRL,2014,national,0.9661821321367585,0.980556548
IRL,2015,national,0.9629844611255108,0.980556548
IRL,2016,national,0.9631782487341514,0.980556548
IRL,2017,national,0.9666666362520956,0.980556548
IRL,2018,national,0.9712208907112987,0.980556548
IRL,2019,national,0.9803294698171764,0.980556548
IRL,2020,national,0.9771317988059286,0.980556548
IRL,2021,national,1,0.980556548
IRL,2022,national,1.0782945455140134,0.980556548
IRL,2023,national,1.1462209275597213,0.980556548
IRN,1986,national,0.0013385082704402277,48021.04297
IRN,1990,national,0.002915893456382291,48021.04297
IRN,1994,national,0.0068454910445837095,48021.04297
IRN,1998,national,0.018270342962262306,48021.04297
IRN,2005,national,0.04899794435656232,48021.04297
IRN,2006,national,0.05479326993844068,48021.04297
IRN,2009,national,0.09009112137036779,48021.04297
IRN,2011,national,0.13021152374332406,48021.04297
IRN,2012,national,0.16855999695097582,48021.04297
IRN,2013,national,0.22387202792444294,48021.04297
IRN,2014,national,0.25651263700970234,48021.04297
IRN,2015,national,0.2850364685186871,48021.04297
IRN,2016,national,0.30457626750977584,48021.04297
IRN,2017,national,0.3296655876976873,48021.04297
IRN,2018,national,0.4181814863752474,48021.04297
IRN,2019,national,0.5635554534167604,48021.04297
IRN,2020,national,0.7692581263071908,48021.04297
IRN,2021,national,1.0785553259633687,48021.04297
IRN,2022,national,1.5890713443769957,48021.04297
IRN,2023,national,2.23583041877309,48021.04297
IRQ,2006,national,0.6085579113326152,575.5927734
IRQ,2012,national,0.8838789712378183,575.5927734
IRQ,2023,national,1.0957080876501053,575.5927734
ISL,2003,national,0.45119276746121734,156.3648224
ISL,2004,national,0.46544231508894557,156.3648224
ISL,2005,national,0.4839997361689373,156.3648224
ISL,2006,national,0.5163651787482978,156.3648224
ISL,2007,national,0.5424496582033347,156.3648224
ISL,2008,national,0.6113103363526722,156.3648224
ISL,2009,national,0.6846866989613799,156.3648224
ISL,2010,national,0.7216374174991127,156.3648224
ISL,2011,national,0.7505103468354422,156.3648224
ISL,2012,national,0.7894310443492748,156.3648224
ISL,2013,national,0.8199999911909495,156.3648224
ISL,2014,national,0.8367658716241654,156.3648224
ISL,2015,national,0.8504306909962364,156.3648224
ISL,2016,national,0.8648618977623801,156.3648224
ISL,2017,national,0.880087075261995,156.3648224
ISL,2018,national,0.9036990744660973,156.3648224
ISL,2019,national,0.9309362732364859,156.3648224
ISR,1979,national,0.1955757745232762,4.012187958
ISR,1986,national,152.31030638916454,4.012187958
ISR,1992,national,0.39734638608948464,4.012187958
ISR,1997,national,0.6604753085556938,4.012187958
ISR,2001,national,0.7489388200103434,4.012187958
ISR,2002,national,0.7921702332862753,4.012187958
ISR,2003,national,0.7977372349496107,4.012187958
ISR,2004,national,0.7946927721789693,4.012187958
ISR,2005,national,0.8051309701857624,4.012187958
ISR,2006,national,0.8217450344548034,4.012187958
ISR,2007,national,0.8254853724333617,4.012187958
ISR,2008,national,0.8630627734369539,4.012187958
ISR,2009,national,0.8920287100065695,4.012187958
ISR,2010,national,0.9160365095117622,4.012187958
ISR,2011,national,0.9479598982430147,4.012187958
ISR,2012,national,0.9638781571921781,4.012187958
ISR,2013,national,0.9790134604363809,4.012187958
ISR,2014,national,0.98371063556183,4.012187958
ISR,2015,national,0.9777956613505164,4.012187958
ISR,2016,national,0.9724026110171505,4.012187958
ISR,2017,national,0.9749252197978837,4.012187958
ISR,2018,national,0.9826668576939742,4.012187958
ISR,2019,national,0.9910173601889773,4.012187958
ISR,2020,national,0.9849284346476943,4.012187958
ISR,2021,national,1,4.012187958
ITA,1977,national,0.12683719660630627,0.693248928
ITA,1978,national,0.1421769035835994,0.693248928
ITA,1979,national,0.16321706036747186,0.693248928
ITA,1980,national,382.6077956626961,0.693248928
ITA,1981,national,451.35973650307403,0.693248928
ITA,1982,national,525.7456959718072,0.693248928
ITA,1983,national,602.7494527763427,0.693248928
ITA,1984,national,667.8132236429689,0.693248928
ITA,1986,national,771.7627263853918,0.693248928
ITA,1987,national,808.4004689781517,0.693248928
ITA,1989,national,902.4555634879706,0.693248928
ITA,1991,national,1020.768806109305,0.693248928
ITA,1993,national,1124.2868387764984,0.693248928
ITA,1995,national,1231.0872994026781,0.693248928
ITA,1998,national,1332.121655375799,0.693248928
ITA,2000,national,1388.6483044649087,0.693248928
ITA,2002,national,1462.512647197578,0.693248928
ITA,2003,national,0.7754991913433434,0.693248928
ITA,2004,national,0.7926124636779034,0.693248928
ITA,2005,national,0.8083481351476547,0.693248928
ITA,2006,national,0.8252494219547181,0.693248928
ITA,2007,national,0.8403493402179254,0.693248928
ITA,2008,national,0.8684828771351001,0.693248928
ITA,2009,national,0.8752115703016071,0.693248928
ITA,2010,national,0.8885630655588462,0.693248928
ITA,2011,national,0.9132707346691653,0.693248928
ITA,2012,national,0.9410466010896749,0.693248928
ITA,2013,national,0.9525273088135611,0.693248928
ITA,2014,national,0.9548233554495635,0.693248928
ITA,2015,national,0.9551937708388315,0.693248928
ITA,2016,national,0.9542957304541989,0.693248928
ITA,2017,national,0.9660004906783652,0.693248928
ITA,2018,national,0.9769886218615447,0.693248928
ITA,2019,national,0.9829604175497985,0.693248928
ITA,2020,national,0.9816068150465931,0.693248928
ITA,2021,national,1,0.693248928
ITA,2022,national,1.082012909355951,0.693248928
ITA,2023,national,1.1428457731733164,0.693248928
JAM,1988,national,0.014913132506428691,90.67343903
JAM,1990,national,0.024050112249560468,90.67343903
JAM,1993,national,0.08035327591600229,90.67343903
JAM,1996,national,0.1386842531331502,90.67343903
JAM,1999,national,0.1744527116762858,90.67343903
JAM,2002,national,0.21275450772185125,90.67343903
JAM,2004,national,0.2639233133764736,90.67343903
JAM,2018,national,0.8639598705512531,90.67343903
JAM,2021,national,1,90.67343903
JOR,1986,national,0.2410940977648844,0.344110966
JOR,1992,national,0.42206153895964293,0.344110966
JOR,1997,national,0.5070014211738355,0.344110966
JOR,2002,national,0.553087721329262,0.344110966
JOR,2006,national,0.6344056120088533,0.344110966
JOR,2008,national,0.7514539371162681,0.344110966
JOR,2010,national,0.7907905115933106,0.344110966
JPN,2008,national,0.9705662441699153,109.2182388
JPN,2009,national,0.9574360948615924,109.2182388
JPN,2010,national,0.9504635968280075,109.2182388
JPN,2011,national,0.9478740273161114,109.2182388
JPN,2012,national,0.9474563431182867,109.2182388
JPN,2013,national,0.9506306705071375,109.2182388
JPN,2014,national,0.9768607305282118,109.2182388
JPN,2015,national,0.9846295115785179,109.2182388
JPN,2016,national,0.9833764589850433,109.2182388
JPN,2017,national,0.9881379863256285,109.2182388
JPN,2018,national,0.9979115790108759,109.2182388
JPN,2019,national,1.002589569511896,109.2182388
JPN,2020,national,1.0023389589932012,109.2182388
KAZ,1993,national,0.0017098146665700286,142.3610535
KAZ,1996,national,0.12994980936801848,142.3610535
KAZ,2001,national,0.21711104584696184,142.3610535
KAZ,2002,national,0.2297836491121563,142.3610535
KAZ,2003,national,0.24457761298152866,142.3610535
KAZ,2004,national,0.2614095881766156,142.3610535
KAZ,2005,national,0.28157826097017374,142.3610535
KAZ,2006,national,0.3061366740810065,142.3610535
KAZ,2007,national,0.33934278892942615,142.3610535
KAZ,2008,national,0.39750583444949245,142.3610535
KAZ,2009,national,0.4265876543237495,142.3610535
KAZ,2010,national,0.45815712420835664,142.3610535
KAZ,2011,national,0.4968847049302715,142.3610535
KAZ,2012,national,0.5227012744382566,142.3610535
KAZ,2013,national,0.553764566549147,142.3610535
KAZ,2014,national,0.5916943781025279,142.3610535
KAZ,2015,national,0.6312094513362905,142.3610535
KAZ,2016,national,0.7218580223252327,142.3610535
KAZ,2017,national,0.7755834746606659,142.3610535
